env,Model,value
RTX2080Ti_CPUALL,LSTM,0.03781977858591149
RTX2080Ti_CPU100,LSTM,0.1149535192425554
RTX2080Ti_CPU80,LSTM,0.06898521053552825
T4_CPUALL,LSTM,0.05881694786015673
T4_CPU100,LSTM,0.07961690259871147
T4_CPU80,LSTM,0.17029208829510747
T4_CPU60,LSTM,0.30075418384997843
P4_CPUALL,LSTM,0.044484557724350386
P4_CPU100,LSTM,0.08646571887883059
P4_CPU80,LSTM,0.14625276314063268
P4_CPU60,LSTM,0.3292174905320286
RTX3080Ti_CPUALL,LSTM,0.057270576532682846
