op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,4764.484,4503.6474609375,75.103,82.53331756591797,4839.587,4586.180778503418
batchnorm,3924.815,4288.57763671875,310.556,346.6072692871094,4235.371,4635.184906005859
relu,2194.468,2382.945068359375,1.504,0.9141883254051208,2195.9719999999998,2383.85925668478
others,2141.989,1907.6214599609375,1.088,1.0813674628734589,2143.077,1908.702827423811
conv2d,578.905,873.6368103027344,64.415,71.43521881103516,643.3199999999999,945.0720291137695
batchnorm,945.396,928.2751159667969,301.564,341.76600646972656,1246.96,1270.0411224365234
relu,552.985,595.7836710611979,1.056,1.2463086446126301,554.041,597.0299797058105
conv2d,3344.79,3271.6140950520835,66.175,71.89046478271484,3410.965,3343.5045598347983
batchnorm,953.972,998.9060465494791,299.133,319.8677978515625,1253.105,1318.7738444010415
relu,552.857,598.0182189941406,1.056,1.265493392944336,553.913,599.283712387085
conv2d,2253.634,2248.3926391601562,64.289,65.94441223144531,2317.9230000000002,2314.3370513916016
batchnorm,3771.664,3844.7069702148438,295.58,317.9735412597656,4067.244,4162.680511474609
conv2d,2266.66,2238.009765625,67.839,68.76249885559082,2334.499,2306.772264480591
batchnorm,3759.857,3902.9990234375,306.428,336.42362213134766,4066.285,4239.422645568848
iadd,3197.368,3373.8999633789062,1.151,0.9714431315660477,3198.519,3374.8714065104723
relu,2183.013,2341.2484130859375,1.184,1.4339637756347656,2184.197,2342.6823768615723
conv2d,2124.774,2038.448974609375,61.631,72.26911735534668,2186.4049999999997,2110.7180919647217
batchnorm,954.26,945.1792297363281,301.02,322.0772247314453,1255.28,1267.2564544677734
relu,547.033,610.3235778808594,1.184,1.2707977294921875,548.217,611.5943756103516
conv2d,3373.045,3342.1611938476562,64.736,71.20342826843262,3437.781,3413.364622116089
batchnorm,949.876,981.6482543945312,295.868,317.3920211791992,1245.744,1299.0402755737305
relu,546.905,572.8189544677734,1.248,1.2861213684082031,548.153,574.1050758361816
conv2d,2462.401,2229.043212890625,63.391,66.86299324035645,2525.792,2295.9062061309814
batchnorm,3819.952,3866.258544921875,298.141,335.55660247802734,4118.093,4201.815147399902
iadd,3203.224,3209.1677856445312,1.151,1.0116367042064667,3204.375,3210.1794223487377
relu,2193.541,2288.7334594726562,0.928,1.5536346435546875,2194.469,2290.287094116211
conv2d,2084.709,2092.947052001953,60.64,81.05104637145996,2145.3489999999997,2173.998098373413
batchnorm,955.636,932.8401489257812,295.58,325.3547134399414,1251.216,1258.1948623657227
relu,549.657,627.5305480957031,1.056,1.2877159118652344,550.7130000000001,628.8182640075684
conv2d,3407.38,3304.837158203125,70.337,74.02743530273438,3477.717,3378.8645935058594
batchnorm,955.603,1002.3890991210938,297.117,323.4236755371094,1252.72,1325.8127746582031
relu,549.177,591.1539459228516,1.12,1.3075847625732422,550.297,592.4615306854248
