op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,4586.697,4503.6474609375,126.653,82.53331756591797,4713.35,4586.180778503418
batchnorm,3919.611,4288.57763671875,351.447,346.6072692871094,4271.058,4635.184906005859
relu,2206.086,2382.945068359375,1.088,0.9141883254051208,2207.174,2383.85925668478
others,2083.338,1907.6214599609375,1.088,1.0813674628734589,2084.4260000000004,1908.702827423811
conv2d,576.561,873.6368103027344,71.967,71.43521881103516,648.528,945.0720291137695
batchnorm,955.174,928.2751159667969,324.569,341.76600646972656,1279.743,1270.0411224365234
relu,553.841,595.7836710611979,1.024,1.2463086446126301,554.865,597.0299797058105
conv2d,3369.609,3271.6140950520835,73.662,71.89046478271484,3443.2709999999997,3343.5045598347983
batchnorm,956.104,998.9060465494791,330.327,319.8677978515625,1286.431,1318.7738444010415
relu,552.529,598.0182189941406,0.929,1.265493392944336,553.458,599.283712387085
conv2d,2225.991,2248.3926391601562,69.693,65.94441223144531,2295.684,2314.3370513916016
batchnorm,3751.903,3844.7069702148438,319.415,317.9735412597656,4071.3179999999998,4162.680511474609
conv2d,2224.072,2238.009765625,68.637,68.76249885559082,2292.7090000000003,2306.772264480591
batchnorm,3766.463,3902.9990234375,332.823,336.42362213134766,4099.286,4239.422645568848
iadd,3190.318,3373.8999633789062,1.248,0.9714431315660477,3191.5660000000003,3374.8714065104723
relu,2196.359,2341.2484130859375,1.056,1.4339637756347656,2197.415,2342.6823768615723
conv2d,2058.442,2038.448974609375,75.103,72.26911735534668,2133.545,2110.7180919647217
batchnorm,952.168,945.1792297363281,324.791,322.0772247314453,1276.959,1267.2564544677734
relu,551.665,610.3235778808594,1.088,1.2707977294921875,552.7529999999999,611.5943756103516
conv2d,3364.01,3342.1611938476562,75.485,71.20342826843262,3439.4950000000003,3413.364622116089
batchnorm,954.567,981.6482543945312,330.52,317.3920211791992,1285.087,1299.0402755737305
relu,548.85,572.8189544677734,1.088,1.2861213684082031,549.938,574.1050758361816
conv2d,2387.618,2229.043212890625,93.661,66.86299324035645,2481.279,2295.9062061309814
batchnorm,3772.159,3866.258544921875,346.039,335.55660247802734,4118.198,4201.815147399902
iadd,3200.269,3209.1677856445312,1.088,1.0116367042064667,3201.357,3210.1794223487377
relu,2193.128,2288.7334594726562,1.12,1.5536346435546875,2194.248,2290.287094116211
conv2d,2022.027,2092.947052001953,204.731,81.05104637145996,2226.758,2173.998098373413
batchnorm,951.72,932.8401489257812,339.19,325.3547134399414,1290.91,1258.1948623657227
relu,549.97,627.5305480957031,1.088,1.2877159118652344,551.058,628.8182640075684
conv2d,3337.834,3304.837158203125,72.734,74.02743530273438,3410.5679999999998,3378.8645935058594
batchnorm,949.096,1002.3890991210938,325.175,323.4236755371094,1274.271,1325.8127746582031
relu,549.458,591.1539459228516,1.152,1.3075847625732422,550.61,592.4615306854248
conv2d,2355.652,2084.1922912597656,71.933,67.07486724853516,2427.585,2151.267158508301
batchnorm,3769.534,3880.6978149414062,322.072,334.14830780029297,4091.606,4214.846122741699
iadd,3202.477,3383.4478149414062,1.024,0.8284243941307068,3203.5009999999997,3384.276239335537
relu,2198.791,2371.2285766601562,0.992,1.5846977233886719,2199.7830000000004,2372.813274383545
conv2d,3755.039,3951.6265258789062,68.67,69.9182357788086,3823.7090000000003,4021.544761657715
batchnorm,1908.622,1976.4443359375,328.952,328.850830078125,2237.574,2305.295166015625
relu,1100.356,1100.24755859375,1.12,1.2809085696935654,1101.4759999999999,1101.5284671634436
conv2d,4184.308,4250.48779296875,70.686,69.84581184387207,4254.994,4320.333604812622
batchnorm,455.893,479.614501953125,322.487,312.79518127441406,778.38,792.4096832275391
relu,277.72,287.78208923339844,1.057,1.063941940665245,278.77700000000004,288.8460311740637
conv2d,1998.604,2196.5444946289062,69.278,68.82632255554199,2067.882,2265.3708171844482
batchnorm,1753.235,1697.6879272460938,347.51,320.55464935302734,2100.745,2018.242576599121
conv2d,3825.087,3991.076904296875,72.157,66.95588207244873,3897.244,4058.0327863693237
batchnorm,1748.083,1730.4148864746094,471.539,326.01100158691406,2219.6220000000003,2056.4258880615234
iadd,1602.711,1632.7229309082031,1.12,1.1712665557861328,1603.831,1633.8941974639893
relu,1100.611,1119.5472412109375,0.896,1.0893783569335938,1101.507,1120.636619567871
conv2d,1858.224,2063.5919189453125,70.495,67.14435195922852,1928.719,2130.736270904541
batchnorm,455.38,463.59059143066406,318.776,315.18029022216797,774.156,778.770881652832
relu,276.28,295.7168197631836,0.96,1.1552753448486328,277.23999999999995,296.8720951080322
