op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,965.801,1190.524169921875,287.651,75.59172058105469,1253.452,1266.1158905029297
batchnorm,2012.691,1911.6326904296875,550.34,354.5986022949219,2563.031,2266.2312927246094
relu,1099.402,1170.8397216796875,1.088,1.3389701843261719,1100.49,1172.1786918640137
conv2d,741.992,872.9730834960938,71.903,68.79225158691406,813.895,941.7653350830078
batchnorm,1187.723,1275.4937744140625,392.515,346.7503204345703,1580.2379999999998,1622.2440948486328
conv2d,3186.014,3058.2877197265625,66.304,70.88877487182617,3252.318,3129.1764945983887
batchnorm,5016.493,5076.742838541667,350.82,331.17816162109375,5367.313,5407.921000162761
relu,2763.608,2812.2867838541665,0.992,1.4903653462727864,2764.6000000000004,2813.7771492004395
conv2d,8331.693,8277.777669270834,69.632,65.58456929524739,8401.324999999999,8343.362238566082
batchnorm,1180.394,1302.3765869140625,530.405,330.24383544921875,1710.799,1632.6204223632812
relu,694.31,767.3962860107422,0.96,1.1424236297607422,695.27,768.5387096405029
conv2d,1401.933,865.6099700927734,68.353,64.5359992980957,1470.286,930.1459693908691
batchnorm,1182.891,1088.4837951660156,354.947,330.56934356689453,1537.8380000000002,1419.0531387329102
sub,1014.889,828.3128051757812,0.96,0.9783610850572586,1015.849,829.2911662608385
relu,688.134,694.3084869384766,1.024,0.936246857047081,689.158,695.2447337955236
conv2d,1437.357,1044.5709686279297,64.449,68.8127670288086,1501.806,1113.3837356567383
batchnorm,1186.346,1212.9401245117188,352.419,352.6749038696289,1538.7649999999999,1565.6150283813477
relu,687.527,769.0045471191406,0.96,1.1585292667150497,688.4870000000001,770.1630763858557
conv2d,5873.493,4757.9796142578125,75.617,72.58662414550781,5949.110000000001,4830.56623840332
batchnorm,1192.107,1256.8202209472656,366.754,329.1798095703125,1558.8609999999999,1586.0000305175781
relu,687.367,772.5726928710938,0.96,1.0664005130529404,688.327,773.6390933841467
conv2d,1446.989,891.8054809570312,102.721,65.32413482666016,1549.71,957.1296157836914
batchnorm,1202.091,1104.9984741210938,364.419,337.8089904785156,1566.5099999999998,1442.8074645996094
sub,1003.849,816.0567474365234,1.088,0.9741115272045135,1004.937,817.030858963728
relu,685.926,745.6771850585938,1.088,1.1378631442785263,687.014,746.8150482028723
conv2d,956.969,999.0709075927734,68.801,66.84416961669922,1025.77,1065.9150772094727
batchnorm,834.023,991.0509796142578,343.94,334.85216522216797,1177.963,1325.9031448364258
conv2d,2775.416,2563.03857421875,66.081,68.79705047607422,2841.4970000000003,2631.835624694824
batchnorm,3534.56,3656.7222900390625,514.757,336.7533874511719,4049.317,3993.4756774902344
relu,2062.514,2177.497802734375,1.28,1.5700569152832031,2063.7940000000003,2179.067859649658
conv2d,113675.526,6440.6588134765625,0.0,69.28242301940918,113675.526,6509.941236495972
batchnorm,837.8,875.1598968505859,376.291,316.81907653808594,1214.091,1191.9789733886719
relu,522.981,533.9814300537109,0.8,1.0129203647375107,523.781,534.9943504184484
conv2d,1424.301,1433.343505859375,64.224,65.33557510375977,1488.5249999999999,1498.6790809631348
batchnorm,853.641,776.9182281494141,363.715,327.9086608886719,1217.356,1104.826889038086
sub,768.135,585.3148956298828,0.704,1.0644912272691727,768.8389999999999,586.379386857152
relu,523.524,516.7957153320312,0.768,1.0066642612218857,524.292,517.8023795932531
conv2d,1417.613,1660.7481384277344,68.065,66.6326732635498,1485.678,1727.3808116912842
batchnorm,844.264,835.5808563232422,359.907,320.43672943115234,1204.171,1156.0175857543945
relu,525.06,537.6427001953125,0.704,1.332498550415039,525.7639999999999,538.9751987457275
conv2d,3746.113,3492.515869140625,0.0,72.2469310760498,3746.113,3564.762800216675
batchnorm,855.975,871.7916564941406,361.22,319.0773010253906,1217.1950000000002,1190.8689575195312
relu,526.724,540.1309814453125,0.704,1.0513362735509872,527.428,541.1823177188635
conv2d,1418.029,1470.2666625976562,66.401,66.5545482635498,1484.43,1536.821210861206
batchnorm,855.848,794.1669616699219,364.643,321.21463775634766,1220.491,1115.3815994262695
sub,772.199,581.8735504150391,0.672,0.9636954814195633,772.871,582.8372458964586
relu,521.316,519.0916748046875,0.673,1.0266017764806747,521.989,520.1182765811682
conv2d,1414.603,1651.7920227050781,68.482,66.36052131652832,1483.085,1718.1525440216064
batchnorm,849.223,849.5847015380859,520.805,322.2248764038086,1370.0279999999998,1171.8095779418945
relu,521.509,551.3918914794922,0.864,1.342691421508789,522.373,552.734582901001
conv2d,4021.38,3244.6964721679688,0.0,74.00956916809082,4021.38,3318.7060413360596
batchnorm,851.752,901.6709899902344,359.65,321.22918701171875,1211.402,1222.9001770019531
relu,520.837,538.4119873046875,0.928,1.0892219543457031,521.765,539.5012092590332
conv2d,1656.271,1408.2939758300781,68.513,67.52079582214355,1724.7839999999999,1475.8147716522217
batchnorm,833.32,765.9652862548828,363.523,323.1497116088867,1196.843,1089.1149978637695
sub,760.199,578.9972991943359,1.248,1.005153626203537,761.447,580.0024528205395
relu,519.652,512.9212646484375,0.928,0.9373187720775604,520.58,513.8585834205151
conv2d,1660.623,1637.3472290039062,71.841,66.13179588317871,1732.464,1703.479024887085
batchnorm,829.576,825.2660827636719,364.579,323.57545471191406,1194.155,1148.841537475586
relu,520.069,547.7662506103516,0.863,1.1988239139318466,520.932,548.9650745242834
conv2d,4005.382,3527.88427734375,0.0,71.20485877990723,4005.382,3599.089136123657
batchnorm,837.351,869.7138671875,359.076,320.98258209228516,1196.4270000000001,1190.6964492797852
relu,520.292,548.8190612792969,0.928,1.0220851749181747,521.22,549.841146454215
conv2d,1685.2,1449.4612121582031,66.624,66.04824638366699,1751.824,1515.5094585418701
batchnorm,833.576,777.3558197021484,344.483,329.3896789550781,1178.059,1106.7454986572266
sub,754.119,580.0850067138672,0.96,1.0695571452379227,755.0790000000001,581.1545638591051
relu,516.484,516.6780166625977,0.928,1.0103988498449326,517.412,517.6884155124426
conv2d,1830.193,1668.0328369140625,87.169,66.65995407104492,1917.362,1734.6927909851074
batchnorm,834.535,835.8499145507812,361.859,320.37561798095703,1196.394,1156.2255325317383
relu,517.829,537.6607818603516,1.024,1.332998275756836,518.853,538.9937801361084
conv2d,4181.957,3494.9268188476562,0.0,72.23739051818848,4181.957,3567.1642093658447
batchnorm,835.08,872.6158447265625,365.635,318.9094009399414,1200.7150000000001,1191.525245666504
relu,517.125,539.8573760986328,1.12,1.0411987155675888,518.245,540.8985748142004
conv2d,1825.232,1456.7581787109375,81.217,66.37591934204102,1906.449,1523.1340980529785
batchnorm,836.808,800.4571075439453,345.603,319.72064208984375,1182.411,1120.177749633789
sub,758.822,574.0353851318359,1.12,0.9298915416002274,759.942,574.9652766734362
relu,517.029,511.9374465942383,0.992,0.9204406291246414,518.021,512.8578872233629
conv2d,1842.641,1776.7792358398438,71.809,56.525208473205566,1914.45,1833.3044443130493
batchnorm,579.589,783.1921997070312,352.195,331.12109375,931.7840000000001,1114.3132934570312
conv2d,6621.948,4492.3570556640625,67.84,70.6534481048584,6689.7880000000005,4563.010503768921
batchnorm,2446.519,2303.562255859375,351.203,335.5171813964844,2797.7219999999998,2639.0794372558594
relu,1552.942,1419.8486633300781,1.728,1.6599178314208984,1554.67,1421.508581161499
conv2d,89292.008,6305.513916015625,0.0,72.21944427490234,89292.008,6377.733360290527
batchnorm,587.078,636.7918243408203,435.268,319.96048736572266,1022.346,956.752311706543
relu,394.18,384.94139099121094,0.735,1.1923065185546875,394.915,386.1336975097656
conv2d,3029.884,3911.55908203125,85.377,67.34352111816406,3115.261,3978.902603149414
batchnorm,577.157,559.8011779785156,378.499,315.34547424316406,955.6560000000001,875.1466522216797
sub,574.565,368.02783203125,0.897,1.0325545817613602,575.4620000000001,369.06038661301136
relu,393.667,347.66876220703125,0.864,0.8441314101219177,394.53099999999995,348.51289361715317
conv2d,3024.22,3923.0477294921875,74.24,66.57416343688965,3098.4599999999996,3989.621892929077
batchnorm,572.422,587.6336059570312,354.338,315.2102355957031,926.76,902.8438415527344
relu,393.7,388.12325286865234,1.056,1.3443336486816406,394.756,389.467586517334
conv2d,3808.26,4307.6029052734375,0.0,72.3001880645752,3808.26,4379.903093338013
batchnorm,577.446,631.6181945800781,355.49,314.4541244506836,932.936,946.0723190307617
relu,392.548,395.95247650146484,0.768,1.2569103240966797,393.316,397.2093868255615
conv2d,3024.027,4018.6525268554688,63.105,68.16042137145996,3087.132,4086.8129482269287
batchnorm,573.637,536.8664398193359,336.483,320.48091888427734,910.1199999999999,857.3473587036133
sub,577.285,379.0885696411133,0.673,1.0388221442699432,577.958,380.1273917853832
relu,393.763,352.85135650634766,0.832,0.8087958693504333,394.59499999999997,353.6601523756981
conv2d,3021.915,4205.168701171875,63.649,68.35779571533203,3085.564,4273.526496887207
batchnorm,572.677,598.0937042236328,337.731,315.58223724365234,910.408,913.6759414672852
