op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,14272.249,16053.048828125,3.232,3.3712806701660156,14275.481,16056.420108795166
relu,8812.505,8991.17578125,1.024,3.9023399353027344,8813.528999999999,8995.078121185303
conv2d,63073.695,66332.328125,5.151,-2.930652618408203,63078.846,66329.39747238159
relu,8830.585,8821.81494140625,0.832,3.1401596069335938,8831.417,8824.955101013184
others,7453.769,8284.57861328125,0.96,1.8303794860839844,7454.729,8286.408992767334
conv2d,26911.589,28015.5244140625,4.8,7.309772491455078,26916.389,28022.834186553955
relu,4428.716,4896.17919921875,0.864,1.6722017923990886,4429.58,4897.851401011149
conv2d,36809.587,39340.421875,4.863,6.553574879964192,36814.45,39346.97544987997
relu,4431.5,4774.77783203125,0.928,3.195908864339193,4432.428,4777.973740895589
others,3834.195,3668.8463134765625,1.024,0.26634592562913895,3835.219,3669.1126594021916
conv2d,16351.009,15882.083740234375,5.248,3.991260528564453,16356.257,15886.07500076294
relu,2205.83,2143.2260131835938,0.928,1.4159107208251953,2206.758,2144.641923904419
conv2d,26617.994,26220.046875,5.183,4.2947845458984375,26623.177,26224.3416595459
relu,2203.974,2235.921142578125,0.928,1.4096851348876953,2204.902,2237.3308277130127
others,1931.434,2201.6732788085938,1.087,0.995151475071907,1932.521,2202.6684302836657
conv2d,12140.755,12589.46875,5.28,4.265438079833984,12146.035,12593.734188079834
relu,1102.867,1251.5248718261719,0.928,1.3745918273925781,1103.795,1252.8994636535645
conv2d,20959.753,23553.06689453125,5.186,20.557868003845215,20964.939000000002,23573.624762535095
relu,1101.267,1230.1900024414062,1.056,1.205890640616417,1102.323,1231.3958930820227
others,978.356,1144.13671875,1.12,0.7890319228172302,979.476,1144.9257506728172
conv2d,5438.336,6790.5941162109375,4.961,9.357051849365234,5443.2970000000005,6799.951168060303
relu,276.604,341.4642562866211,1.088,0.9606036692857742,277.692,342.42485995590687
conv2d,5442.113,6484.364990234375,5.184,6.281747817993164,5447.2970000000005,6490.646738052368
relu,274.909,378.4911804199219,1.023,1.008632630109787,275.932,379.49981305003166
others,249.149,233.00214767456055,1.089,1.0447196662425995,250.238,234.04686734080315
adaptive_avg_pool2d,808.118,1059.3729858398438,3.68,2.143156051635742,811.798,1061.5161418914795
linear,4456.812,4788.0772705078125,1.504,1.3681182861328125,4458.316,4789.445388793945
relu,5.728,7.462221339344978,1.152,0.9899616092443466,6.88,8.452182948589325
iadd,8.0,5.26287305355072,3.744,1.1212119907140732,11.744,6.384085044264793
linear,598.105,658.8837280273438,1.151,0.7975005656480789,599.256,659.6812285929918
relu,5.665,10.210916876792908,0.96,1.0420436710119247,6.625,11.252960547804832
iadd,8.16,3.283709019422531,3.743,1.1483478397130966,11.903,4.432056859135628
linear,173.182,76.32359838485718,1.152,1.037563294172287,174.33399999999997,77.36116167902946
cross_entrpy,29.6,31.64804983139038,425.691,387.2352523803711,455.291,418.8833022117615
cross_entrpy,16.481,27.259127140045166,619.864,594.4413909912109,636.345,621.7005181312561
iadd,11.935,20.926645278930664,1.057,20.29304313659668,12.992,41.219688415527344
relu,10.463,25.99572992324829,1817.099,2000.2745361328125,1827.562,2026.2702660560608
iadd,12.352,17.57842445373535,0.96,1.8203773498535156,13.312000000000001,19.398801803588867
relu,10.848,-853.1594390869141,10742.37,10663.729736328125,10753.218,9810.570297241211
adaptive_avg_pool2d,715.096,1010.0293731689453,3.936,3.0188026428222656,719.032,1013.0481758117676
others,847.542,875.4398193359375,4.672,1.7705631256103516,852.214,877.2103824615479
relu,409.819,431.8544464111328,1.696,1.4475765228271484,411.51500000000004,433.30202293395996
conv2d,10591.363,11708.152587890625,132.16,121.59008026123047,10723.523,11829.742668151855
relu,406.747,447.5203399658203,2.4,1.4242515414953232,409.147,448.94459150731564
conv2d,10458.376,12007.895263671875,129.404,120.36784362792969,10587.78,12128.263107299805
others,3321.465,3474.3946533203125,3.552,1.6985511779785156,3325.0170000000003,3476.093204498291
relu,1616.397,1745.4682312011719,1.568,1.4133129119873047,1617.965,1746.8815441131592
conv2d,38992.983,38066.697265625,129.696,116.23450469970703,39122.679000000004,38182.93177032471
relu,1614.093,1795.0720825195312,2.336,1.0328292548656464,1616.429,1796.104911774397
conv2d,22365.723,23478.3623046875,76.639,58.0764102935791,22442.362,23536.43871498108
others,6495.508,7133.873291015625,3.871,3.318483352661133,6499.379,7137.191774368286
relu,3216.891,3314.69189453125,2.272,1.556936264038086,3219.163,3316.248830795288
conv2d,51774.592,51777.16796875,46.882,37.17139720916748,51821.473999999995,51814.33936595917
relu,3221.627,3276.7402954101562,1.567,1.2061023712158203,3223.194,3277.946397781372
conv2d,32428.42,32828.2119140625,36.993,28.532774925231934,32465.412999999997,32856.74468898773
others,13266.085,13234.540771484375,4.576,1.8001842349767685,13270.660999999998,13236.340955719352
relu,6464.756,6534.7197265625,1.28,2.1230735778808594,6466.036,6536.842800140381
conv2d,72623.054,73934.93229166667,32.128,6.949565867582957,72655.182,73941.88185753426
relu,6423.925,7136.554036458333,1.92,2.6604270935058594,6425.845,7139.214463551839
conv2d,57714.974,60062.447916666664,30.527,21.324438730875652,57745.501000000004,60083.77235539754
others,25198.523,23425.900390625,3.007,1.2732391115278006,25201.530000000002,23427.173629736528
relu,12928.489,12810.947265625,0.832,8.683883666992188,12929.321,12819.631149291992
conv2d,172720.857,123636.359375,0.0,-29.992290496826172,172720.857,123606.36708450317
relu,12785.995,12010.3125,5.856,5.815303802490234,12791.851,12016.12780380249
conv2d,16346.945,9456.623046875,14.463,12.091503143310547,16361.408,9468.71455001831
