op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,560.984,560.7178344726562,69.343,71.9378662109375,630.327,632.6557006835938
batchnorm,1027.121,907.4033203125,853.556,895.3468017578125,1880.6770000000001,1802.7501220703125
others,559.096,508.5339050292969,0.8,0.9767798781394958,559.896,509.51068490743637
conv2d,356.923,318.23887634277344,55.871,65.21080780029297,412.794,383.4496841430664
batchnorm,246.109,235.61568450927734,449.881,431.7510986328125,695.99,667.3667831420898
relu,141.534,132.35031127929688,6.272,4.461856842041016,147.80599999999998,136.8121681213379
adaptive_avg_pool2d,74.847,75.38737360636394,149.405,124.75376637776692,224.252,200.14113998413086
conv2d,8.96,9.59990390141805,290.684,309.4075215657552,299.644,319.0074254671732
relu,2.4,6.981089115142822,223.357,238.11810811360678,225.757,245.0991972287496
conv2d,7.424,6.7758505046367645,202.973,216.5637092590332,210.39700000000002,223.33955976366997
others,2.4,1.057016760110855,121.374,125.13345336914062,123.774,126.19047012925148
floordiv,134.462,117.08856201171875,105.726,143.43146133422852,240.188,260.52002334594727
conv2d,151.07,140.76288414001465,67.871,82.34437561035156,218.94099999999997,223.1072597503662
batchnorm,249.404,262.8360900878906,325.18,394.6846237182617,574.5840000000001,657.5207138061523
conv2d,592.215,572.7355804443359,67.167,68.54250526428223,659.3820000000001,641.2780857086182
batchnorm,1085.873,1105.771728515625,315.643,346.9543151855469,1401.516,1452.7260437011719
relu,631.799,651.0499572753906,0.8,1.0097484439611435,632.5989999999999,652.0597057193518
conv2d,399.386,426.5031509399414,65.471,62.36313247680664,464.857,488.86628341674805
batchnorm,251.325,250.0851593017578,328.667,364.6812973022461,579.992,614.7664566040039
relu,158.974,155.66913223266602,71.422,101.78862762451172,230.396,257.45775985717773
conv2d,121.888,104.17257690429688,93.597,117.65483665466309,215.485,221.82741355895996
batchnorm,86.079,80.87569046020508,506.841,553.6696014404297,592.92,634.5452919006348
conv2d,200.253,233.1416473388672,60.767,71.15838241577148,261.02,304.3000297546387
batchnorm,328.411,325.6137390136719,394.427,349.29486083984375,722.838,674.9085998535156
relu,192.669,190.4229393005371,11.744,1.225326493382454,204.413,191.64826579391956
conv2d,347.867,431.3760681152344,59.967,63.07613468170166,407.834,494.45220279693604
batchnorm,326.811,319.57238006591797,345.211,363.5330352783203,672.0219999999999,683.1054153442383
relu,193.053,174.40229415893555,7.52,33.72745323181152,200.573,208.12974739074707
conv2d,135.838,123.37165641784668,80.383,100.9269027709961,216.221,224.29855918884277
batchnorm,85.919,99.16352081298828,377.242,423.79053497314453,463.161,522.9540557861328
iadd,81.215,75.81285858154297,175.134,199.82821655273438,256.349,275.64107513427734
conv2d,211.293,193.9671974182129,63.583,73.54248809814453,274.876,267.5096855163574
batchnorm,355.931,342.6037902832031,528.28,570.9822998046875,884.211,913.5860900878906
others,211.645,225.42315292358398,0.704,0.9152202010154724,212.34900000000002,226.33837312459946
conv2d,235.197,284.9403610229492,58.591,65.84155654907227,293.788,350.7819175720215
batchnorm,78.846,113.11367416381836,452.73,516.8073501586914,531.576,629.9210243225098
others,53.439,70.63904666900635,68.383,68.92175579071045,121.822,139.5608024597168
adaptive_avg_pool2d,35.744,45.703556060791016,183.645,194.3641700744629,219.389,240.0677261352539
conv2d,14.336,22.974329471588135,291.515,297.0765380859375,305.851,320.05086755752563
relu,2.24,9.093423962593079,227.453,239.26593399047852,229.693,248.3593579530716
conv2d,8.16,13.836938858032227,193.533,203.1093406677246,201.69299999999998,216.94627952575684
others,2.208,2.6887154281139374,120.575,128.08224487304688,122.783,130.7709603011608
floordiv,47.807,37.683398723602295,190.685,209.47025680541992,238.49200000000002,247.15365552902222
conv2d,54.431,70.52157974243164,156.542,160.62219619750977,210.973,231.1437759399414
batchnorm,20.416,27.503817081451416,553.624,577.1737976074219,574.0400000000001,604.6776146888733
conv2d,126.046,107.32636070251465,79.839,116.4590950012207,205.885,223.78545570373535
batchnorm,198.685,206.38322067260742,587.351,491.8544006347656,786.0360000000001,698.237621307373
others,132.191,145.11139678955078,0.767,1.0307655036449432,132.958,146.14216229319572
conv2d,502.937,565.6945190429688,57.855,61.71493339538574,560.792,627.4094524383545
batchnorm,197.181,224.98827743530273,443.93,510.3341827392578,641.111,735.3224601745605
others,131.998,151.63105392456055,0.64,0.8190249800682068,132.63799999999998,152.45007890462875
adaptive_avg_pool2d,75.679,83.25762557983398,66.623,120.87034797668457,142.30200000000002,204.12797355651855
conv2d,25.217,33.081217765808105,291.546,314.73583221435547,316.763,347.8170499801636
relu,2.24,8.846513986587524,229.053,245.66030502319336,231.293,254.50681900978088
conv2d,11.648,15.32426643371582,189.853,206.41216659545898,201.501,221.7364330291748
others,2.304,2.4489388167858124,119.647,139.27212524414062,121.95100000000001,141.72106406092644
floordiv,126.91,119.17028617858887,110.206,143.47053146362305,237.11599999999999,262.6408176422119
conv2d,109.854,95.87771606445312,103.135,127.83259201049805,212.989,223.71030807495117
batchnorm,19.967,31.910815238952637,420.187,474.0307388305664,440.154,505.94155406951904
iadd,24.191,27.798258304595947,215.133,241.15110397338867,239.324,268.9493622779846
conv2d,126.75,120.1777400970459,80.831,119.4616928100586,207.58100000000002,239.6394329071045
batchnorm,196.508,219.64330673217773,451.803,504.2252502441406,648.311,723.8685569763184
others,132.766,144.62439346313477,0.672,1.1381549686193466,133.438,145.7625484317541
conv2d,503.161,573.724609375,63.199,61.72941207885742,566.36,635.4540214538574
batchnorm,198.269,219.0231704711914,447.417,512.9510726928711,645.6859999999999,731.9742431640625
others,131.102,150.97877502441406,0.641,0.7680339217185974,131.743,151.74680894613266
adaptive_avg_pool2d,75.39,82.70015335083008,54.752,122.37033462524414,130.142,205.07048797607422
conv2d,25.278,33.19176006317139,292.317,316.47178649902344,317.595,349.6635465621948
relu,2.208,8.764017343521118,225.117,246.38346099853516,227.325,255.14747834205627
conv2d,11.839,15.049631118774414,190.11,206.22552871704102,201.949,221.27515983581543
others,2.271,2.2551522105932236,120.959,138.98756790161133,123.23,141.24272011220455
floordiv,127.038,118.85751914978027,255.068,143.46720123291016,382.106,262.32472038269043
conv2d,106.847,92.96612548828125,107.838,129.36956024169922,214.685,222.33568572998047
batchnorm,20.063,34.820194244384766,419.355,461.9755859375,439.418,496.79578018188477
iadd,24.16,27.279139041900635,218.012,233.0093231201172,242.172,260.2884621620178
conv2d,65.312,83.3106689453125,146.941,151.93382263183594,212.253,235.24449157714844
batchnorm,100.287,106.57773208618164,445.338,494.84183502197266,545.625,601.4195671081543
others,66.398,76.25847625732422,69.823,80.07927322387695,136.221,156.33774948120117
conv2d,246.013,301.96534729003906,76.991,63.82528018951416,323.004,365.7906274795532
batchnorm,98.015,111.4055118560791,473.496,493.50952911376953,571.511,604.9150409698486
others,66.24,89.24225234985352,51.071,87.2401237487793,117.31099999999999,176.4823760986328
adaptive_avg_pool2d,45.759,55.181602478027344,188.413,189.64304733276367,234.17200000000003,244.82464981079102
conv2d,15.232,32.096537590026855,302.684,303.2866668701172,317.91600000000005,335.38320446014404
relu,2.144,7.951051950454712,223.965,237.6656036376953,226.109,245.61665558815002
conv2d,8.864,14.386758804321289,191.933,200.47165298461914,200.797,214.85841178894043
others,2.144,2.862719029188156,121.182,129.7777099609375,123.32600000000001,132.64042899012566
floordiv,60.543,41.01093244552612,180.829,200.38027954101562,241.372,241.39121198654175
conv2d,62.047,82.04678726196289,147.103,149.34818267822266,209.15,231.39496994018555
batchnorm,27.806,25.744768142700195,547.161,571.9671020507812,574.967,597.7118701934814
conv2d,91.807,75.51713943481445,115.614,146.6850700378418,207.421,222.20220947265625
batchnorm,123.263,116.96185302734375,433.273,472.7073745727539,556.5360000000001,589.6692276000977
others,80.831,89.68505477905273,47.711,52.19204902648926,128.542,141.877103805542
conv2d,294.972,375.3671112060547,53.663,63.555917739868164,348.635,438.92302894592285
batchnorm,121.854,142.04908561706543,572.216,495.38402557373047,694.07,637.4331111907959
others,79.455,95.76131439208984,20.0,40.474348068237305,99.455,136.23566246032715
adaptive_avg_pool2d,51.487,65.3473072052002,170.846,190.47127532958984,222.333,255.81858253479004
conv2d,16.319,29.624438285827637,281.884,300.0294876098633,298.20300000000003,329.6539258956909
relu,2.144,6.666353702545166,227.581,241.2884063720703,229.725,247.95476007461548
conv2d,9.44,17.291627883911133,192.157,199.5520782470703,201.597,216.84370613098145
others,2.144,2.9211907386779785,124.062,128.23554039001465,126.206,131.15673112869263
floordiv,73.919,61.95955562591553,163.422,195.46791076660156,237.341,257.4274663925171
conv2d,71.231,69.96044635772705,137.918,145.52756881713867,209.149,215.48801517486572
batchnorm,29.247,40.14834928512573,410.586,453.4334487915039,439.833,493.58179807662964
iadd,35.04,34.75532865524292,207.357,237.19260787963867,242.397,271.9479365348816
conv2d,168.381,162.31082725524902,63.2,91.09430885314941,231.58100000000002,253.40513610839844
batchnorm,238.011,267.7645263671875,475.002,513.2504272460938,713.013,781.0149536132812
others,158.75,174.25728607177734,0.704,0.9144420512020588,159.454,175.1717281229794
conv2d,210.653,255.03229141235352,55.295,62.32807445526123,265.948,317.36036586761475
batchnorm,49.344,78.62727069854736,467.832,514.672004699707,517.176,593.2992753982544
others,40.064,42.35210037231445,95.678,106.77597618103027,135.742,149.12807655334473
adaptive_avg_pool2d,32.864,39.72633743286133,203.421,216.74840545654297,236.285,256.4747428894043
conv2d,25.471,31.394076347351074,287.836,294.2012252807617,313.307,325.5953016281128
relu,2.177,6.522600531578064,228.636,239.67285537719727,230.813,246.19545590877533
conv2d,12.256,17.18218421936035,190.397,193.5529899597168,202.653,210.73517417907715
others,2.208,2.0199150890111923,119.678,126.33451080322266,121.886,128.35442589223385
floordiv,34.944,29.955606937408447,203.325,214.96745681762695,238.269,244.9230637550354
conv2d,65.983,75.18543243408203,144.702,154.98234939575195,210.685,230.16778182983398
batchnorm,14.527,19.023340225219727,566.552,607.7169036865234,581.0790000000001,626.7402439117432
conv2d,91.84,97.3241958618164,249.147,138.48963165283203,340.98699999999997,235.81382751464844
batchnorm,104.863,110.61840057373047,477.593,503.91577911376953,582.456,614.5341796875
others,80.223,86.70940017700195,39.423,74.00059509277344,119.646,160.7099952697754
conv2d,316.508,347.9131546020508,54.015,62.49237060546875,370.52299999999997,410.40552520751953
batchnorm,102.623,119.78907012939453,452.409,532.3294067382812,555.032,652.1184768676758
others,79.999,89.38486862182617,11.52,46.75365924835205,91.51899999999999,136.13852787017822
adaptive_avg_pool2d,58.495,67.2502613067627,180.765,170.7283535003662,239.26,237.9786148071289
conv2d,39.521,50.814273834228516,272.955,295.42977142333984,312.476,346.24404525756836
relu,2.176,8.27153992652893,250.588,254.49730682373047,252.76399999999998,262.7688467502594
conv2d,19.808,27.548593997955322,197.181,196.49869537353516,216.989,224.04728937149048
others,2.336,1.7753776796162128,120.478,129.24356269836426,122.814,131.01894037798047
floordiv,75.647,76.4329719543457,160.958,189.57107162475586,236.60500000000002,266.00404357910156
conv2d,120.926,116.62399673461914,93.087,95.86682319641113,214.013,212.49081993103027
batchnorm,14.272,13.327432632446289,426.937,502.79329681396484,441.209,516.1207294464111
iadd,8.992,10.588174819946289,232.989,265.8771743774414,241.981,276.4653491973877
conv2d,92.254,90.36510467529297,125.599,145.6372947692871,217.853,236.00239944458008
batchnorm,102.399,111.08546829223633,454.649,523.9474334716797,557.048,635.032901763916
others,80.159,88.83747482299805,37.855,70.49547386169434,118.01400000000001,159.33294868469238
conv2d,316.411,359.3572311401367,55.743,63.01525020599365,372.154,422.37248134613037
batchnorm,103.615,114.5584602355957,444.057,541.6024169921875,547.672,656.1608772277832
others,80.287,89.9162712097168,13.12,46.32460689544678,93.40700000000001,136.24087810516357
adaptive_avg_pool2d,59.04,66.56675910949707,183.101,172.44829750061035,242.141,239.01505661010742
conv2d,39.296,50.692481994628906,272.283,299.3577117919922,311.579,350.0501937866211
