dataset,mre,rmse,rand_mre,rand_rmse,models_mre,models_rmse
T4_CPUALL,0.36795404683963784,255.65058550793498,0.3083699622579228,387.19369978865393,0.3993711096190876,144.11843384720618
P4_CPUALL,0.1663752013899108,293.5655419406341,0.3266640256416327,500.58739073821323,0.08694003184923446,68.59072734723796
RTX2080Ti_CPUALL,0.5168704104953438,197.04011650873258,0.14838215157277165,263.250856458467,0.950386009227782,54.501812968951455
RTX3080Ti_CPUALL,0.09877881305508454,27.32698520101601,0.03533871046456477,9.318382195837028,0.11306333946619498,29.92253418315343
