model,predict,measure
alexnet,56.46338531,50.720796
convnext_tiny,3569.453146,3198.375826
densenet121,881.2857876,864.51518
densenet169,1085.707408,1052.547957
efficientnet_b0,402.1966966,400.559429
efficientnet_b1,574.1644345,572.363792
efficientnet_b2,604.060884,602.566425
efficientnet_b3,788.657121,799.360112
efficientnet_v2_s,904.0442947,930.670779
googlenet,285.6888676,314.576846
inception_v3,472.8427614,634.561656
mnasnet0_5,163.0415261,164.5299
mnasnet0_75,234.488473,233.650244
mnasnet1_0,269.7023441,269.41795
mnasnet1_3,365.1927974,362.871451
mobilenet_v2,303.5207332,302.92586
mobilenet_v3_large,238.3401147,234.989229
mobilenet_v3_small,106.1190194,99.179494
regnet_x_1_6gf,508.497674,1314.157983
regnet_x_3_2gf,786.985406,1830.890847
regnet_x_400mf,218.4511589,431.476969
regnet_x_800mf,316.9806769,673.373207
regnet_x_8gf,1273.87742,2477.481754
resnet101,1320.490976,1284.016036
resnet18,222.8621094,208.991275
resnet34,359.4247896,345.535603
resnet50,808.6765248,758.856653
shufflenet_v2_x0_5,108.9569528,108.907012
shufflenet_v2_x1_0,135.2043785,139.321101
shufflenet_v2_x1_5,172.441935,177.040551
shufflenet_v2_x2_0,235.5969865,235.669217
squeezenet1_0,185.0860202,193.969725
squeezenet1_1,101.8275795,106.280082
swin_t,1183.049387,1349.540768
swin_v2_t,1095.269965,1229.052407
vgg11,509.2310225,491.339817
vgg11_bn,587.7236504,582.525356
vgg13,847.9540486,881.600761
vgg13_bn,1000.300196,1040.742658
vgg16,1011.501751,1007.257081
vgg16_bn,1166.823611,1162.840945
vgg19,1181.217234,1188.121627
vgg19_bn,1352.979939,1342.105716
vit_b_16,1899.659005,1809.472888
wide_resnet50_2,1689.779242,1526.00259
