env,Model,value
RTX2080Ti_CPUALL,PerfNet,0.12777918785774572
RTX2080Ti_CPU100,PerfNet,0.2212059263562925
RTX2080Ti_CPU80,PerfNet,0.23143157311437032
T4_CPUALL,PerfNet,0.08362207993639133
T4_CPU100,PerfNet,0.09871614802531385
T4_CPU80,PerfNet,0.1916059724248722
P4_CPUALL,PerfNet,0.10797509192891988
P4_CPU100,PerfNet,0.12136222844969267
P4_CPU80,PerfNet,0.15710532500062724
RTX3080Ti_CPUALL,PerfNet,0.07925161635341084
